"","state","county","TRACTCE10","tot_pop","med_income","per_cap_income","perc_under_poverty","perc_unemployment_rate","perc_white","perc_aa","perc_hispanic","perc_other_race","perc_ed_high","perc_ed_college","perc_ed_att_col_deg","perc_other_ed","perc_citizen","perc_non_citizen"
"1",12,86,"1002",6314,43958,17814,34,15.2,4.3,67.1,27.8,0.8,39.3,7.8,7,45.9,86.1,13.9
"2",12,86,"1004",6742,23708,11336,46.5,23.7,2.7,80.4,16.5,0.4,44.5,6.6,2.3,46.6,87.7,12.3
"3",12,86,"1005",2143,26961,14681,23.6,18.8,4,77.1,18.6,0.3,35.5,9.8,5.4,49.3,91.9,8.1
"4",12,86,"1006",4866,36768,13870,28.6,16.2,4.9,61.3,30.7,3.1,30.4,7.6,5.7,56.3,80.7,19.3
"5",12,86,"1104",4829,95607,39146,9.7,5.4,36.8,24,33.4,5.8,16.2,25.8,22.7,35.3,89.1,10.9
"6",12,86,"1301",4409,24125,24243,29.2,8.8,15.6,32.5,45.6,6.3,26.3,8.8,11.5,53.4,80,20
"7",12,86,"1302",5433,60428,47485,12.6,5.8,34.8,25.2,36.8,3.2,16.9,25.5,15.4,42.2,83.6,16.4
"8",12,86,"1401",5145,19865,12231,47,24.3,2.2,87.4,9.4,1,29.4,11.5,4.1,55,82.4,17.6
"9",12,86,"1402",6418,20400,10158,47.8,21.3,4.9,81.6,11.1,2.4,32.1,11.8,0.8,55.3,68.8,31.2
"10",12,86,"1501",4572,12857,7650,63.2,18.9,3.5,85.3,11.1,0.1,37.8,7.2,0,55,94.7,5.3
"11",12,86,"1502",4012,19875,10134,55.8,22.6,0,79.7,18.5,1.8,43.3,1.2,1,54.5,89.6,10.4
"12",12,86,"1703",4689,22725,11358,35.7,11.1,1,2.3,94.4,2.3,35.8,4,2.6,57.6,63.4,36.6
"13",12,86,"1801",4028,19558,10846,47.5,25.3,1.4,80.1,16.1,2.4,43.8,7.5,2.1,46.6,90.6,9.4
"14",12,86,"1802",3743,29632,16065,33.2,15.5,0,63.4,35.7,0.9,36.9,14.9,1.1,47.1,85.8,14.2
"15",12,86,"1901",3776,23712,14636,31.5,23.1,0.3,81.8,17.2,0.7,36.6,8.4,5.1,49.9,92.2,7.8
"16",12,86,"1903",3221,22967,10709,40.8,23.7,2,84,13.5,0.5,43.5,7.3,2.7,46.5,94.3,5.7
"17",12,86,"1904",4560,23534,10467,37,18.8,0.9,84.1,14.4,0.6,44.3,5.7,1.5,48.5,94.9,5.1
"18",12,86,"2001",3704,16964,11479,45.3,10.8,1.6,82.4,16,0,37.3,4.8,1.6,56.3,74.1,25.9
"19",12,86,"2003",3863,23267,11578,38.3,19.2,5,72.7,18.9,3.4,32.7,6.6,2.8,57.9,79.1,20.9
"20",12,86,"2004",3449,23925,14064,28.8,13.9,1.5,73.8,24.4,0.3,35,2.8,0.2,62,72.2,27.8
"21",12,86,"2100",2752,67708,52206,21.1,10,41.1,21.3,36.6,1,27.5,27.5,18.8,26.2,88.3,11.7
"22",12,86,"2201",3901,46060,23538,12.6,7.1,17.4,40.9,40.3,1.4,26.7,18.3,6.1,48.9,83.7,16.3
"23",12,86,"2202",6362,27442,13715,37.4,11.5,4.3,63.8,31.4,0.5,36.9,9.9,3.2,50,80.6,19.4
"24",12,86,"2300",4820,25708,14843,36.2,16.4,0.9,78.2,19.4,1.5,37.8,3.5,1.2,57.5,87.9,12.1
"25",12,86,"2402",5730,24803,11969,38.5,14.9,3.2,6.9,88.8,1.1,36.2,7,2.1,54.7,63.1,36.9
"26",12,86,"2403",4241,29457,14445,25.4,10.9,2.6,6,91.4,0,36.7,8.6,1.6,53.1,69.3,30.7
"27",12,86,"2404",4790,14029,13537,48,11.6,1.8,9.1,89.1,0,31.7,5.1,3.2,60,63.4,36.6
"28",12,86,"2501",5364,22520,12126,45,13.1,2.4,19.9,77.7,0,32.8,8.2,1.5,57.5,55.4,44.6
"29",12,86,"2502",5049,22193,10334,37.9,20,4.7,33.8,59.8,1.7,39.2,6.4,1.8,52.6,73.6,26.4
"30",12,86,"2600",6931,39957,20277,33.7,10.3,10.4,13,74.7,1.9,23.3,25.6,11.2,39.9,63.5,36.5
"31",12,86,"2702",3505,46250,24788,27.9,18.7,12.2,16.7,68.4,2.7,17.8,19.3,8.8,54.1,60.8,39.2
"32",12,86,"2703",5994,84680,60261,9.4,1.6,42.4,6.6,47,4,11.3,33.5,27.2,28,80.1,19.9
"33",12,86,"2705",3099,57132,39177,19.6,9.4,29.6,7,60.4,3,17.3,26.5,23.8,32.4,71,29
"34",12,86,"2706",4507,60588,36970,16,4.2,30.7,7.3,58.8,3.2,20.6,30.5,20.5,28.4,71.1,28.9
"35",12,86,"2800",1386,20682,11598,52.3,14.6,6.6,60.7,32,0.7,35.2,10.1,4,50.7,83.5,16.5
"36",12,86,"2900",6871,27286,11880,24.6,9.4,4.1,12.5,83.3,0.1,40.7,5.9,1.7,51.7,74.8,25.2
"37",12,86,"3001",2023,18321,22313,40.4,10.7,25.3,20,50.9,3.8,33.7,14.3,12.1,39.9,84.8,15.2
"38",12,86,"3003",6416,23900,15061,39.7,5.1,3.7,4.2,90,2.1,32.9,11,2.2,53.9,59.1,40.9
"39",12,86,"3004",5168,17261,13815,38.6,5.6,5.6,17.6,74.7,2.1,34.4,7.4,3.5,54.7,64.2,35.8
"40",12,86,"3100",4450,13660,12132,47.9,27.1,3.1,71.6,24.3,1,30,10.9,1.1,58,87.8,12.2
"41",12,86,"3400",1763,19036,12015,44.9,35.1,8.1,74.3,17.6,0,29.4,6.9,2.8,60.9,76.3,23.7
"42",12,86,"3601",3973,15331,15010,49.6,22.7,3.2,40.8,56,0,35.1,7.4,6.4,51.1,86.5,13.5
